"player","position","fantasy_points"
"Nathan MacKinnon","C",497
"Nikita Kucherov","RW",473
"Cale Makar","D",448
"Leon Draisaitl","C",446
"David Pastrňák","RW",438
"Zach Werenski","D",427.5
"Kyle Connor","LW",423.5
"Jack Eichel","C",410
"Brandon Hagel","LW",401
"Auston Matthews","C",388.5
"William Nylander","C",378
"Mitch Marner","RW",373
"Connor McDavid","C",368.5
"Jake Guentzel","C",368
"Nick Suzuki","C",362.5
"Sam Reinhart","C",362.5
"Mikko Rantanen","RW",362
"Mark Scheifele","C",357.5
"Brayden Point","C",355.5
"Matt Boldy","LW",354.5
